POG,UPC,Product
8386811,4319417843,SCNI NSG 8CM OVAL CLIP
8386811,4319417851,SCNI NSG 8.5CM GRIP BRTS
8386811,4319417863,SCNI NO DMG 2MM BRW ELSTC
8386811,4319417888,SCNI NO DMG 6MM BRN ELST
8386811,4319417891,SCNI NO DMG 2MM ELASTICS
8386811,4319417901,SCNI NSG 3.5CM JW CLP
8386811,4319417902,SCNI NSG CHNKY JAW CLIP
8386811,4319417924,SCNI 9CM THCK HAIR BARETE
8386811,4319420000,SCNI BOBBY PINS W/STONES
8386811,4319420021,SCNI HEAD BAND
8386811,4319420074,SCNI HEAD BAND
8386811,4319420427,SCNI MIXED ELASTICS
8386811,4319421038,SCNI TWISTERS HEATHER
8386811,4319421359,SCNI INTERLOCK NTRL 12PK
8386811,4319422534,SCNI KIDS POLYBAND
8386811,4319422818,SCNI KIDS DOT CLIP
8386811,4319422853,SCUNCI 2MM S/L ND ELASTCS
8386811,4319423019,SCNI HAIR CLIP
8386811,4319425030,SCNI DENIM BARRETTES
8386811,4319432508,SCNI 4MM NYL ELSTC HR TIE
8386811,4319432509,SCNI FINE HAIR NYL ELSTCS
8386811,4319432626,SCNI 4-PK BOW PONYTAILE
8386811,4319432718,SCNI 5PK JAW CLIP ASST
8386811,4319432722,SCNI VALUE PACK POLYBANDS
8386811,4319433344,SCNI 6-PK SPIRAL PNYTAILR
8386811,4319433480,CONR 4MM TXTRD ELSTC 32PK
8386811,4319433758,CONR HSRY PNYTLRS 20PK
8386811,4319435022,SCNI TB DCO ASSRT BBY PNS
8386811,4319435028,SCNI THE BSK EDT SNP CLPS
8386811,4319435031,SCNI THE BSK EDT VV HDBND
8386811,4319435035,SCNI TBE STN TRBN HDBND
8386811,4319435760,SCNI TBE BRAIDED HEADBAND
8386811,4319436159,SCNI NSG OCTOPUS CLIP
8386811,4319436168,SCNI NSG 6CM OCTOPUS CLIP
8386811,4319436687,SCNI MINI OCTOPUS CLIP
8386811,4319436769,SCNI NSG JAW CLP
8386811,4319437040,SCNI NSG SPLT OVL BBY PIN
8386811,4319437224,SCNI MED OCTOPUS CLIPS
8386811,4319437347,SCNI NSG HEADBAND
8386811,4319437758,SCUNCI OCTOPUS JAW CLIP
8386811,4319438304,SCNI NSG SUPER BANDS
8386811,4319438380,SCNI WIDE HEADWRAPS
8386811,4319438573,SCNI NEW EVLTN ELASTICS
8386811,4319438653,SCNI NO DMG BRGT ELSTCS
8386811,4319438701,SCNI NEW EVLTN PONYTAIL
8386811,4319439124,SCNI NSG GALAXY JAW CLIPS
8386811,4319439220,SCNI NSG CHUNKY JAW CLIPS
8386811,4319439533,SCNI NSG BASIC HEADWRAP
8386811,4319439535,SCNI LUXE N/S HEADWRAP
8386811,4319439704,SCNI EVO/CORE ELASTICS
8386811,4319439971,SCNI RHINESTONE BOBBY PIN
8386811,4319439987,SCNI BARRETT
8386811,4319458323,SCNI HEADWRAPS
8386811,4319458328,SCNI INTERLOCK HEADWRAPS
8386811,4319458898,SCNI EFRTLS FABRIC HDBAND
8386811,4319459189,SCNI NO DMG CRRBN ELSTCS
